timestamp,mode,num_books,total_possible_pairs,stage1_time_sec,stage2_time_sec,stage3_time_sec,total_time_sec,input_size_mb,index_size_mb,output_size_mb,unique_words,similarity_pairs,pairs_computed,throughput_books_per_sec,throughput_pairs_per_sec,num_executors,executor_memory,driver_memory,input_dir,index_output,pairwise_output
2025-11-22 10:16:25,pairwise,10,45,48.46,44.76,35.81,129.03,3.67,0.59,0.0,9755,45,45,0.0775,1.01,6,4G,2G,hdfs:///gutenberg-input-10,hdfs:///spark-index-10_20251122_101625,hdfs:///spark-pairwise-10_20251122_101625
2025-11-22 10:18:53,pairwise,50,1225,50.78,48.9,36.23,135.91,20.45,4.3,0.06,36255,1225,1225,0.3679,25.05,6,4G,2G,hdfs:///gutenberg-input-50,hdfs:///spark-index-50_20251122_101853,hdfs:///spark-pairwise-50_20251122_101853
2025-11-22 10:21:26,pairwise,100,4950,52.8,50.25,59.12,162.17,38.69,9.46,0.26,63495,4950,4950,0.6166,98.51,6,4G,2G,hdfs:///gutenberg-input-100,hdfs:///spark-index-100_20251122_102126,hdfs:///spark-pairwise-100_20251122_102126
2025-11-22 10:24:27,pairwise,200,19900,69.39,64.63,35.89,169.91,61.92,16.86,1.03,101397,19900,19900,1.1771,307.91,6,4G,2G,hdfs:///gutenberg-input-200,hdfs:///spark-index-200_20251122_102427,hdfs:///spark-pairwise-200_20251122_102427
2025-11-22 13:01:09,pairwise,100,4950,64.24,50.11,38.86,153.21,38.69,9.46,0.26,63495,4950,4950,0.6527,98.78,6,4G,2G,hdfs:///gutenberg-input-100,hdfs:///spark-index-100_20251122_130109,hdfs:///spark-pairwise-100_20251122_130109
2025-11-22 17:33:32,pairwise,10,45,46.9,43.91,35.72,126.53,3.67,0.59,0.0,9755,45,45,0.079,1.02,6,4G,2G,hdfs:///gutenberg-input-10,hdfs:///spark-index-10_20251122_173332,hdfs:///spark-pairwise-10_20251122_173332
2025-11-22 17:36:52,pairwise,50,1225,48.93,44.84,35.27,129.04,20.45,4.3,0.06,36255,1225,1225,0.3875,27.32,6,4G,2G,hdfs:///gutenberg-input-50,hdfs:///spark-index-50_20251122_173652,hdfs:///spark-pairwise-50_20251122_173652
2025-11-22 17:40:14,pairwise,100,4950,50.1,56.42,37.08,143.6,38.69,9.46,0.26,63495,4950,4950,0.6964,87.73,6,4G,2G,hdfs:///gutenberg-input-100,hdfs:///spark-index-100_20251122_174014,hdfs:///spark-pairwise-100_20251122_174014
2025-11-22 17:43:57,pairwise,200,19900,58.05,71.0,33.62,162.67,61.92,16.86,1.03,101397,19900,19900,1.2295,280.28,6,4G,2G,hdfs:///gutenberg-input-200,hdfs:///spark-index-200_20251122_174357,hdfs:///spark-pairwise-200_20251122_174357
2025-11-23 13:06:21,pairwise,10,45,53.82,45.48,42.39,141.69,3.67,0.59,0.0,9755,45,45,0.0706,0.99,6,4G,2G,hdfs:///gutenberg-input-10,hdfs:///spark-index-10_20251123_130621,hdfs:///spark-pairwise-10_20251123_130621
